# Wed Jun 25 07:49:33 NOVT 2014
1 99
2 99
3 99
4 97
5 97
6 97
7 99
8 97
9 98
10 97
11 94
12 94
13 97
14 98
15 97
16 97
17 97
18 95
19 91
20 99
21 97
22 97
23 97
24 97
25 97
26 97
27 97
28 99
29 99
30 97
31 97
32 99
33 97
34 99
35 97
36 99
37 97
38 98
39 99
40 99
41 97
42 97
43 96
44 95
45 99
46 97
47 97
48 97
49 97
50 99
51 94
52 99
53 99
54 97
55 97
56 97
57 99
58 99
59 94
60 97
61 97
62 97
63 97
64 97
65 99
66 97
67 97
68 97
69 97
70 97
71 98
72 97
73 97
74 98
75 97
76 99
77 97
78 96
79 98
80 99
81 97
82 97
83 97
84 93
85 97
86 97
87 99
88 99
89 98
90 99
91 97
92 97
93 99
94 97
95 91
96 99
97 99
98 97
99 96
100 99
