# Tue Jun 24 21:30:23 NOVT 2014
1 116
2 116
3 118
4 97
5 116
6 116
7 116
8 116
9 118
10 118
11 118
12 116
13 118
14 116
15 116
16 118
17 118
18 116
19 116
20 118
21 118
22 116
23 118
24 118
25 116
26 118
27 118
28 116
29 116
30 118
31 116
32 118
33 118
34 118
35 116
36 118
37 116
38 118
39 118
40 118
41 117
42 118
43 118
44 118
45 117
46 118
47 116
48 118
49 118
50 116
51 118
52 116
53 116
54 117
55 118
56 118
57 116
58 118
59 118
60 118
61 118
62 118
63 118
64 118
65 118
66 116
67 118
68 118
69 118
70 116
71 116
72 116
73 118
74 118
75 116
76 116
77 118
78 118
79 116
80 118
81 118
82 118
83 118
84 118
85 118
86 118
87 118
88 116
89 118
90 118
91 116
92 116
93 118
94 118
95 116
96 116
97 118
98 116
99 116
100 116
