# Wed Jun 25 11:14:32 NOVT 2014
1  100    12945984           12928280.32        15270.56           1527.06            0.01     12923396.00        13067716.00       
2  100    12941340           12926485.20        3710.92            371.09             0.00     12923248.00        12940652.00       
3  100    13135288           12935450.24        48591.39           4859.14            0.04     12923400.00        13239936.00       
4  100    13040824           12926970.44        4662.77            466.28             0.00     12923228.00        12946036.00       
5  100    13047188           12931023.56        26577.79           2657.78            0.02     12923780.00        13136020.00       
6  100    12952712           12933997.16        41423.04           4142.30            0.03     12923380.00        13206744.00       
7  100    12934384           12926512.76        3768.41            376.84             0.00     12923196.00        12941996.00       
8  100    12939676           12928413.28        23223.17           2322.32            0.02     12922932.00        13156024.00       
9  100    13197308           12937210.28        63910.43           6391.04            0.05     12923452.00        13415712.00       
10  100    13149900           12936285.28        50482.70           5048.27            0.04     12923520.00        13291344.00       
11  100    12939564           12926526.80        3672.00            367.20             0.00     12923232.00        12942012.00       
12  100    13170648           12935832.64        55803.91           5580.39            0.04     12923080.00        13343112.00       
13  100    13178556           12936861.40        62710.81           6271.08            0.05     12923208.00        13349048.00       
14  100    12951472           12926535.44        3445.31            344.53             0.00     12923344.00        12942140.00       
15  100    13133976           12938396.16        61868.88           6186.89            0.05     12922916.00        13348948.00       
16  100    13043336           12926986.32        4414.50            441.45             0.00     12923692.00        12948052.00       
17  100    13048732           12926527.72        3966.13            396.61             0.00     12923356.00        12943744.00       
18  100    12947116           12926596.96        4221.04            422.10             0.00     12922972.00        12951712.00       
19  100    12943932           12926136.60        3365.88            336.59             0.00     12923124.00        12942036.00       
20  100    13222284           12930489.12        22475.47           2247.55            0.02     12923348.00        13058348.00       
21  100    13164420           12931027.40        27376.87           2737.69            0.02     12923224.00        13139220.00       
22  100    12939376           12926533.44        4308.95            430.90             0.00     12923040.00        12947392.00       
23  100    12945088           12927267.60        9127.98            912.80             0.01     12923324.00        13006480.00       
24  100    13156500           12934154.08        44204.53           4420.45            0.03     12923612.00        13255004.00       
25  100    12935724           12926449.72        3696.49            369.65             0.00     12923080.00        12940688.00       
26  100    13069916           12934363.72        46600.87           4660.09            0.04     12923412.00        13252924.00       
27  100    13137744           12935332.64        46130.82           4613.08            0.04     12923308.00        13242892.00       
28  100    12951696           12926355.00        4292.02            429.20             0.00     12922392.00        12953128.00       
29  100    13158220           12931464.68        26788.08           2678.81            0.02     12923324.00        13131640.00       
30  100    12940104           12926807.40        4075.30            407.53             0.00     12923448.00        12944128.00       
31  100    13060040           12940100.16        80166.26           8016.63            0.06     12923504.00        13463804.00       
32  100    13132128           12935456.88        44717.08           4471.71            0.03     12922936.00        13234868.00       
33  100    13264948           12935488.80        52210.47           5221.05            0.04     12923424.00        13276248.00       
34  100    12934460           12926462.40        3850.54            385.05             0.00     12923284.00        12943708.00       
35  100    13165176           12937109.88        57324.14           5732.41            0.04     12923544.00        13346452.00       
