# Tue Jun 24 20:44:33 NOVT 2014
1 188
2 166
3 150
4 132
5 132
6 124
7 124
8 116
9 116
10 107
11 107
12 94
13 94
14 87
15 93
16 87
17 87
18 98
19 93
20 93
21 98
22 90
23 98
24 93
25 87
26 98
27 87
28 98
29 98
30 98
31 98
32 98
33 98
34 92
35 98
36 98
37 90
38 87
39 87
40 98
41 90
42 93
43 98
44 98
45 87
46 98
47 98
48 87
49 92
50 98
51 98
52 98
53 98
54 87
55 87
56 98
57 93
58 98
59 87
60 87
61 98
62 93
63 98
64 87
65 87
66 87
67 87
68 87
69 87
70 98
71 93
72 87
73 87
74 87
75 93
76 98
77 98
78 87
79 87
80 87
81 93
82 87
83 98
84 87
85 87
86 87
87 87
88 87
89 87
90 87
91 98
92 93
93 87
94 87
95 98
96 98
97 87
98 87
99 87
100 93
