# Tue Jun 24 20:44:04 NOVT 2014
1 166
2 154
3 154
4 136
5 128
6 128
7 120
8 110
9 110
10 104
11 104
12 87
13 87
14 87
15 87
16 87
17 87
18 87
19 87
20 93
21 87
22 87
23 87
24 93
25 93
26 87
27 87
28 87
29 93
30 87
31 87
32 87
33 87
34 93
35 87
36 87
37 93
38 87
39 87
40 87
41 87
42 87
43 87
44 93
45 87
46 87
47 87
48 87
49 93
50 87
51 87
52 87
53 87
54 87
55 87
56 93
57 87
58 87
59 87
60 87
61 87
62 87
63 93
64 87
65 87
66 87
67 87
68 87
69 93
70 87
71 87
72 87
73 87
74 87
75 87
76 87
77 87
78 87
79 93
80 87
81 93
82 87
83 87
84 87
85 87
86 87
87 87
88 87
89 87
90 87
91 87
92 87
93 87
94 87
95 87
96 87
97 87
98 87
99 87
100 87
